Key,Definition
tnxb,Tenascin-X
adgrg2,Adhesion G-protein coupled receptor G2
p130708,non-insulin-dependent diabetes mellitus
Townsend_deprivation_index,
megf9,Multiple epidermal growth factor-like domains protein 9
p130770,deficiency of other b group vitamins
sftpd,Pulmonary surfactant-associated protein D
p22009_a2,Principal Component 2
clec10a,C-type lectin domain family 10 member A
C_12_40220632,
vat1,Synaptic vesicle membrane protein VAT-1 homolog
comp,Cartilage oligomeric matrix protein
enah,Protein enabled homolog
itgam,Integrin alpha-M
bag3,BAG family molecular chaperone regulator 3
egfr,Epidermal growth factor receptor
cd276,CD276 antigen
cxcl17,C-X-C motif chemokine 17
p130706,insulin-dependent diabetes mellitus
itgav,Integrin alpha-V
furin,Furin
p22009_a4,Principal Component 4
T_1_155235843,
eps8l2,Epidermal growth factor receptor kinase substrate 8-like protein 2
p131600,dyspepsia
hnmt,Histamine N-methyltransferase
scg2,Secretogranin-2
ptprn2,Receptor-type tyrosine-protein phosphatase N2
p22009_a1,Principal Component 1
p130718,other disorders of pancreatic internal secretion
Age_at_recruitment,
zSCORE,
klk8,Kallikrein-8
tppp3,Tubulin polymerization-promoting protein family member 3
setmar,Histone-lysine N-methyltransferase SETMAR
itgb2,Integrin beta-2
crhbp,Corticotropin-releasing factor-binding protein
p22009_a3,Principal Component 3
angptl3,Angiopoietin-related protein 3
nefl,Neurofilament light polypeptide
dctpp1,dCTP pyrophosphatase 1
itgb1,Integrin beta-1
sex,
tafa5,Chemokine-like protein TAFA-5
G_12_40340400,
p130714,unspecified diabetes mellitus
p22009_a5,Principal Component 5
il13ra1,Interleukin-13 receptor subunit alpha-1
ifnlr1,Interferon lambda receptor 1
p131640,other functional intestinal disorders
G_1_155162560,
itga11,Integrin alpha-11
cdon,Cell adhesion molecule-related/down-regulated by oncogenes
hpgds,Hematopoietic prostaglandin D synthase
